ice-cream , 0.022
food , 0.008
hotel , 0.002
travel , 0.002
bakery , 0.002
food , 0.002
hotel , 0.0
travel , 0.0
ice-cream , 0.0
bakery , 0.0
hotel , 0.002
food , 0.002
travel , 0.0
ice-cream , 0.0
bakery , 0.0
food , 0.02
ice-cream , 0.014
bakery , 0.006
hotel , 0.0
travel , 0.0
travel , 0.002
hotel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
hotel , 0.0
travel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
ice-cream , 0.002
hotel , 0.0
travel , 0.0
food , 0.0
bakery , 0.0
food , 0.004
hotel , 0.002
ice-cream , 0.002
bakery , 0.002
travel , 0.0
hotel , 0.0
travel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
hotel , 0.0
travel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
food , 0.004
ice-cream , 0.002
hotel , 0.0
travel , 0.0
bakery , 0.0
hotel , 0.006
ice-cream , 0.002
bakery , 0.002
travel , 0.0
food , 0.0
food , 0.004
hotel , 0.0
travel , 0.0
ice-cream , 0.0
bakery , 0.0
food , 0.004
hotel , 0.0
travel , 0.0
ice-cream , 0.0
bakery , 0.0
travel , 0.014
food , 0.01
hotel , 0.004
ice-cream , 0.002
bakery , 0.0
hotel , 0.0
travel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
hotel , 0.0
travel , 0.0
food , 0.0
ice-cream , 0.0
bakery , 0.0
food , 0.01
travel , 0.006
hotel , 0.002
ice-cream , 0.0
bakery , 0.0
travel , 0.014
food , 0.01
hotel , 0.004
ice-cream , 0.002
bakery , 0.0
food , 0.006
bakery , 0.004
ice-cream , 0.002
hotel , 0.0
travel , 0.0
ice-cream , 0.004
food , 0.002
hotel , 0.0
travel , 0.0
bakery , 0.0
